Title,Price,Rating,Reviews,ASIN,Product Description
"Urban Tribe Havana Basics 15.6"" inch Laptop Backpack for Men and Women | 27 Litres Casual Backpack | Water Repellent (Black)",,3.9 out of 5 stars,705 ratings,,
"Lavie Sport Chairman 20L Laptop Backpack for Men & Women | Upto 15 inch Notebook/MacBook Compatible | 3 compartments | Office, Business, Casual Use Backpack, P. Blue, M, Chairman Laptop Backpack",,4.1 out of 5 stars,156 ratings,,
Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),,4.3 out of 5 stars,"4,226 ratings",,
Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),,4.3 out of 5 stars,"4,226 ratings",,
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),,3.9 out of 5 stars,450 ratings,,
DEIN KLEIDER Nylon Sling Cross Body Travel Office Business Messenger one Side Shoulder Pouch Bag for Men and Women,,4.0 out of 5 stars,"4,310 ratings","<span class=""a-text-bold"">Product Dimensions
                                    ‏
                                        :
                                    ‎
                                </span>",
"Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Navy Blue, M, Casual",,Previous page of related Sponsored Products,,,
"RL Swisslook Polyster Bange Series 45L USB Travel Laptop Backpack 15.6"" Black",,4.3 out of 5 stars,"1,210 ratings",,
"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014",,4.0 out of 5 stars,21 ratings,,
"Kuber Industries Handcrafted Embroidered Clutch Bag Purse Handbag for Bridal, Casual, Party, (Cream) - CTKTC34515",,3.8 out of 5 stars,461 ratings,,
"Blue Tree Boy's and Girl's Plush Soft Spiderman Cartoon School Bag (Multicolour, 3 to 5 Years)",,4.0 out of 5 stars,"1,016 ratings",,
AirCase C34 13 Inch/ 14 Inch/15.6 Inch Premium Vegan Leather Laptop Backpack For Men & Women (Black) 25 Ltrs,,3.9 out of 5 stars,696 ratings,"<span class=""a-text-bold"">Product Dimensions
                                    ‏
                                        :
                                    ‎
                                </span>",
"Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover, Black, L, Casual",,3.9 out of 5 stars,"1,514 ratings",,
"Bennett Mystic 15.6 inch Laptop Shoulder Messenger Sling Office Bag, Water Repellent Fabric for Men and Women (Blue)",,4.2 out of 5 stars,"2,223 ratings",,
HEROZ Unisex Hammer Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Laptop Notebook All Fits Up To 17.3 Inch Grey & Black,,4.3 out of 5 stars,"7,425 ratings",,
FATMUG Unisex-Adult Laptop Bag Convertible Backpack for Office and Travel Large Dark Grey,,4.4 out of 5 stars,"1,204 ratings",,
"Artistix Talon 13.3” Laptop Mini Backpack, Anti-Theft Design, with USB Charging Port, Water Resistance",,4.3 out of 5 stars,"2,699 ratings","<span class=""a-text-bold"">Product Dimensions
                                    ‏
                                        :
                                    ‎
                                </span>",
